Goods Received Note (GRN)
Document Number,GRN-KNOT-20250709-HouseofKoala-REP-2024-001
Generated Date,09/07/2025
Generated Time,15:50:18

Order Information
PO Number,PO-2024-001
Vendor/Brand,House of Koala
Replenishment Number,REP-2024-001

Receipt Information
Inward Date,2025-07-09
Warehouse,WH-MUM-01
Receipt Accuracy,0%

Summary Statistics
Total Ordered Units,0
Total Received Units,1499
Total Shortage Units,0
Total Excess Units,0
Total Not Ordered Units,0
Total QC Passed Units,1499
Total QC Failed Units,0
QC Pass Rate,100%


S.No,Brand SKU,KNOT SKU,Size,Color,Received Qty,QC Status,Passed QC Qty,Failed QC Qty,Status,Remarks,QC Fail Reason
72,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
73,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
74,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
75,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
76,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
77,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
78,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
79,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
80,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
81,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
82,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
83,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
84,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
85,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
86,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
87,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
88,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
89,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
90,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
91,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
92,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
93,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
94,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
95,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
96,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
97,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
98,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
99,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
100,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
101,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
102,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
103,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
104,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
105,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
106,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
107,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
108,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
109,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
110,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
111,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
112,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
113,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
114,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
115,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
116,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
117,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
118,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
119,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
120,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
121,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
122,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
123,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
124,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
125,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
126,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
127,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
128,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
129,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
130,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
131,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
132,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
133,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
134,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
135,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
136,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
137,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
138,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
