SKU,Bin
HOK-CARGOB-OLIVE-30,A11-S4-B4
HOK-CARGOB-OLIVE-34,A11-S4-B4
HOK-CARGOB-OLIVE-34,A11-S4-B4
HOK-CARGOB-OLIVE-34,A11-S4-B4
HOK-SHIRT-FLORAL-L,A11-S4-B4
HOK-SHIRT-FLORAL-L,A11-S4-B4
LP-Z-BEEB-XXL,A11-S4-B5
HOK-TEE-BK-BOUCLE-M,A11-S4-B5
HOK-SH-NSP-S,A11-S4-B5
HOK-TEE-WHITE-SATIN-M,A11-S4-B5
HOK-CARGOP-OGRY-32,A11-S4-B5
HOK-KSB-BE-36,A11-S4-B5
HOK-SH-PCBW-XL,A11-S4-B5
HOK-SH-NSP-M,A11-S4-B5
G-SH-BE-S,A11-S4-B5
LP-Z-RUST-XL,A11-S4-B5
KV-WHO-M,A11-S4-B5
KV-WHO-S,A11-S4-B5
HOK-KRN-GYT2-S,A11-S4-B6
HOK-KRN-GYT2-L,A11-S4-B6
HOK-KSB-BE-30,A11-S4-B6
KV-BLT1-M,A11-S4-B6
HOK-KRN-BLST-L,A11-S4-B6
KP-OST-L,A11-S4-B6
LPH-B-34,A11-S4-B6
G-SH-BE-L,A11-S4-B6
